state,action_values
"[['O', '-', '-'], ['-', '-', '-'], ['-', '-', '-']]","[{'cell': (2, 2), 'value': 0.0}, {'cell': (2, 1), 'value': 0.0}, {'cell': (2, 0), 'value': 0.0}]"
"[['O', '-', '-'], ['-', '-', 'X'], ['O', '-', '-']]","[{'cell': (2, 2), 'value': -0.05}, {'cell': (2, 1), 'value': -0.05}]"
"[['O', '-', '-'], ['X', '-', 'X'], ['O', 'O', '-']]","[{'cell': (2, 2), 'value': 0.1}]"
"[['-', '-', '-'], ['-', '-', '-'], ['-', '-', '-']]","[{'cell': (2, 2), 'value': 0.0}, {'cell': (2, 1), 'value': 0.0}, {'cell': (2, 0), 'value': 0.0}]"
"[['-', '-', '-'], ['-', '-', '-'], ['-', 'X', 'O']]","[{'cell': (2, 0), 'value': 0.0}]"
"[['-', 'O', 'X'], ['-', '-', '-'], ['-', 'X', 'O']]","[{'cell': (2, 0), 'value': 0.0}]"
"[['-', 'O', 'X'], ['X', '-', '-'], ['O', 'X', 'O']]","[{'cell': (1, 2), 'value': 0.0}]"
"[['X', 'O', 'X'], ['X', 'O', '-'], ['O', 'X', 'O']]","[{'cell': (1, 2), 'value': 0.0}]"
"[['-', '-', 'O'], ['-', '-', '-'], ['-', '-', '-']]","[{'cell': (2, 2), 'value': 0.0}, {'cell': (2, 1), 'value': 0.0}, {'cell': (2, 0), 'value': 0.0}]"
"[['-', '-', 'O'], ['-', '-', 'X'], ['-', 'O', '-']]","[{'cell': (2, 0), 'value': 0.0}]"
"[['O', '-', 'O'], ['X', '-', 'X'], ['-', 'O', '-']]","[{'cell': (1, 1), 'value': -0.05}]"
"[['-', '-', '-'], ['-', '-', '-'], ['O', '-', '-']]","[{'cell': (2, 2), 'value': 0.0}, {'cell': (2, 1), 'value': 0.0}, {'cell': (1, 2), 'value': 0.0}]"
"[['-', '-', '-'], ['-', 'X', 'O'], ['O', '-', '-']]","[{'cell': (2, 2), 'value': 0.0}]"
"[['-', 'X', '-'], ['-', 'X', 'O'], ['O', '-', 'O']]","[{'cell': (0, 2), 'value': -0.05}]"
"[['O', 'X', '-'], ['X', 'X', 'O'], ['O', '-', 'O']]","[{'cell': (0, 2), 'value': -0.05}]"
"[['-', '-', 'O'], ['-', '-', 'O'], ['-', 'X', '-']]","[{'cell': (2, 0), 'value': 0.0}, {'cell': (2, 2), 'value': -0.05}]"
"[['O', '-', 'O'], ['-', '-', 'O'], ['-', 'X', 'X']]","[{'cell': (2, 0), 'value': 0.0}]"
"[['O', 'X', 'O'], ['O', '-', 'O'], ['-', 'X', 'X']]","[{'cell': (1, 1), 'value': 0.1}]"
"[['O', '-', '-'], ['-', '-', 'X'], ['-', '-', '-']]","[{'cell': (2, 2), 'value': 0.0}, {'cell': (2, 1), 'value': 0.0}]"
"[['O', '-', '-'], ['-', '-', 'X'], ['X', '-', 'O']]","[{'cell': (1, 0), 'value': 0.0}]"
"[['O', '-', '-'], ['-', 'X', 'X'], ['X', 'O', 'O']]","[{'cell': (1, 0), 'value': 0.0}]"
"[['O', 'X', '-'], ['O', 'X', 'X'], ['X', 'O', 'O']]","[{'cell': (0, 2), 'value': 0.1}]"
"[['-', 'X', '-'], ['-', '-', 'O'], ['-', '-', '-']]","[{'cell': (2, 2), 'value': 0.0}]"
"[['-', 'X', '-'], ['-', 'X', 'O'], ['-', 'O', '-']]","[{'cell': (2, 2), 'value': 0.0}]"
"[['O', 'X', 'X'], ['-', 'X', 'O'], ['-', 'O', '-']]","[{'cell': (2, 0), 'value': 0.0}]"
"[['O', 'X', 'X'], ['-', 'X', 'O'], ['O', 'O', 'X']]","[{'cell': (1, 0), 'value': 0.0}]"
"[['-', 'O', '-'], ['-', '-', '-'], ['-', '-', '-']]","[{'cell': (2, 1), 'value': 0.0}, {'cell': (2, 2), 'value': 0.0}]"
